Ticker Symbol,Sector,Date,Price,Open,High,Low,Volume,Change
AP,Industrial,3/2/2012,33.15,32.15,33.2,32.15,10.77M,3.6%
AP,Industrial,3/5/2012,33.2,33,33.5,32.6,6.54M,0.2%
AP,Industrial,3/6/2012,32.75,33.2,33.25,32.45,3.37M,-1.4%
AP,Industrial,3/7/2012,32.5,32.6,33,32.5,10.80M,-0.8%
AP,Industrial,3/8/2012,32.85,32.9,33.05,32.6,12.03M,1.1%
AP,Industrial,3/9/2012,33.2,33.1,33.25,32.75,9.53M,1.1%
AP,Industrial,3/12/2012,33.25,33.25,33.6,33.2,15.76M,0.2%
AP,Industrial,3/13/2012,32.25,32,32.5,31.8,9.23M,-3.0%
AP,Industrial,3/14/2012,32.6,32.25,32.9,32.25,7.90M,1.1%
AP,Industrial,3/15/2012,32.25,32.65,32.75,32.25,6.29M,-1.1%
AP,Industrial,3/16/2012,33,32.25,33.05,32.25,8.27M,2.3%
AP,Industrial,3/19/2012,32.85,33,33,32.65,3.55M,-0.5%
AP,Industrial,3/20/2012,32.85,32.85,33,32.65,2.54M,0.0%
AP,Industrial,3/21/2012,32.6,32.85,32.9,32.5,8.88M,-0.8%
AP,Industrial,3/22/2012,33.05,32.75,33.3,32.6,8.22M,1.4%
AP,Industrial,3/23/2012,32.95,32.95,33,32.8,1.72M,-0.3%
AP,Industrial,3/26/2012,32.95,32.95,33,32.8,1.62M,0.0%
AP,Industrial,3/27/2012,32.95,33,33,32.9,2.03M,0.0%
AP,Industrial,3/28/2012,33.3,33,33.6,32.95,6.12M,1.1%
AP,Industrial,3/29/2012,32.95,33.15,33.3,32.65,4.67M,-1.1%
AP,Industrial,3/30/2012,33.9,33,33.9,32.9,5.81M,2.9%
AP,Industrial,4/2/2012,34.5,34,34.5,33.9,3.53M,1.8%
AP,Industrial,4/3/2012,34.75,34.5,34.95,34.5,3.70M,0.7%
AP,Industrial,4/4/2012,34,34.75,34.75,33.8,2.67M,-2.2%
AP,Industrial,4/10/2012,33.75,33.8,34.1,33.3,2.51M,-0.7%
AP,Industrial,4/11/2012,34.1,33.65,34.5,33.5,4.84M,1.0%
AP,Industrial,4/12/2012,34.6,33.9,34.6,33.9,3.09M,1.5%
AP,Industrial,4/13/2012,34.75,34.75,34.9,34.6,4.30M,0.4%
